index,date,value
0, 2008-01-01,-0.1379
1, 2008-02-01,-0.018000000000000002
2, 2008-03-01,-0.0259
3, 2008-04-01,0.054299999999999994
4, 2008-06-01,-0.1125
5, 2008-07-01,0.0045000000000000005
6, 2008-08-01,-0.0007000000000000001
7, 2008-09-01,-0.0973
8, 2008-10-01,-0.1469
9, 2008-11-01,-0.0623
10, 2008-12-01,0.0070999999999999995
11, 2009-01-01,-0.0861
12, 2009-02-01,-0.1166
13, 2009-03-01,0.048
14, 2009-04-01,0.1469
15, 2009-06-01,-0.0202
16, 2009-07-01,0.0984
17, 2009-08-01,0.0519
18, 2009-09-01,0.0351
19, 2009-10-01,-0.045
20, 2009-11-01,0.0196
21, 2009-12-01,0.06
22, 2010-01-01,-0.0635
23, 2010-02-01,-0.0174
24, 2010-03-01,0.07429999999999999
25, 2010-04-01,-0.039
26, 2010-06-01,-0.014199999999999999
27, 2010-07-01,0.06559999999999999
28, 2010-08-01,-0.0435
29, 2010-09-01,0.047599999999999996
30, 2010-10-01,0.0353
31, 2010-11-01,-0.0682
32, 2010-12-01,0.0535
33, 2011-01-01,0.0576
34, 2011-02-01,0.020099999999999996
35, 2011-03-01,-0.0339
36, 2011-04-01,0.0345
37, 2011-06-01,-0.004699999999999999
38, 2011-07-01,-0.0625
39, 2011-08-01,-0.1379
40, 2011-09-01,-0.053200000000000004
41, 2011-10-01,0.0943
42, 2011-11-01,-0.023
43, 2011-12-01,-0.006
44, 2012-01-01,0.0432
45, 2012-02-01,0.0395
46, 2012-03-01,-0.0139
47, 2012-04-01,-0.069
48, 2012-06-01,0.0688
49, 2012-07-01,0.0269
50, 2012-08-01,0.049400000000000006
51, 2012-09-01,0.005600000000000001
52, 2012-10-01,0.020099999999999996
53, 2012-11-01,0.0286
54, 2012-12-01,0.0236
55, 2013-01-01,0.0254
56, 2013-02-01,-0.025699999999999997
57, 2013-03-01,-0.0036
58, 2013-04-01,0.0335
59, 2013-06-01,-0.0603
60, 2013-07-01,0.0636
61, 2013-08-01,-0.0169
62, 2013-09-01,0.06309999999999999
63, 2013-10-01,0.0604
64, 2013-11-01,0.0060999999999999995
65, 2013-12-01,0.0072
66, 2014-01-01,-0.030600000000000002
67, 2014-02-01,0.0449
68, 2014-03-01,0.0039000000000000003
69, 2014-04-01,0.0116
70, 2014-06-01,-0.005
71, 2014-07-01,-0.0349
72, 2014-08-01,0.0183
73, 2014-09-01,0.0168
74, 2014-10-01,-0.0349
75, 2014-11-01,0.044199999999999996
76, 2014-12-01,-0.0321
77, 2015-01-01,0.0652
78, 2015-02-01,0.0739
79, 2015-03-01,0.0273
80, 2015-04-01,-0.022099999999999998
81, 2015-06-01,-0.040999999999999995
82, 2015-07-01,0.051500000000000004
83, 2015-08-01,-0.0919
84, 2015-09-01,-0.051699999999999996
85, 2015-10-01,0.1024
86, 2015-11-01,0.0258
87, 2015-12-01,-0.0681
88, 2016-01-01,-0.0681
89, 2016-02-01,-0.0326
90, 2016-03-01,0.020099999999999996
91, 2016-04-01,0.0077
92, 2016-06-01,-0.0649
93, 2016-07-01,0.044000000000000004
94, 2016-08-01,0.0108
95, 2016-09-01,-0.0069
96, 2016-10-01,0.0177
97, 2016-11-01,-0.0012
98, 2016-12-01,0.0783
99, 2017-01-01,-0.0182
100, 2017-02-01,0.0275
101, 2017-03-01,0.0546
102, 2017-04-01,0.0168
103, 2017-06-01,-0.0317
104, 2017-07-01,0.0022
105, 2017-08-01,-0.008100000000000001
106, 2017-09-01,0.0507
107, 2017-10-01,0.022000000000000002
108, 2017-11-01,-0.028300000000000002
109, 2017-12-01,-0.018500000000000003
110, 2018-01-01,0.0301
111, 2018-02-01,-0.0472
112, 2018-03-01,-0.0225
113, 2018-04-01,0.0521
114, 2018-06-01,-0.0032
115, 2018-07-01,0.0383
116, 2018-08-01,-0.037599999999999995
117, 2018-09-01,0.0019
118, 2018-10-01,-0.0593
119, 2018-11-01,-0.0076
120, 2018-12-01,-0.0541
121, 2019-01-01,0.0526
122, 2019-02-01,0.043899999999999995
123, 2019-03-01,0.016200000000000003
124, 2019-04-01,0.048600000000000004
125, 2019-06-01,0.058899999999999994
126, 2019-07-01,-0.002
127, 2019-08-01,-0.0116
128, 2019-09-01,0.0416
129, 2019-10-01,0.0098
130, 2019-11-01,0.0275
131, 2019-12-01,0.011200000000000002
132, 2020-01-01,-0.0278
133,2008-05-01,-0.0123
134,2009-05-01,0.032
135,2010-05-01,-0.0733
136,2011-05-01,-0.0496
137,2012-05-01,-0.08130000000000001
138,2013-05-01,0.0213
139,2014-05-01,0.0144
140,2015-05-01,-0.0124
141,2016-05-01,0.0116
142,2017-05-01,-0.0014000000000000002
143,2018-05-01,-0.036699999999999997
144,2019-05-01,-0.0666
